和鐵投資 中華資產鑑定中心
媚登峰健康事業 美麗佳人健康生活事業
媚登峰健康事業 裕雍藥業
媚登峰健康事業 佳和生物科技
媚登峰健康事業 長春藤健康管理
通盛 福恩投資
金榮工業 小港倉儲
中華航空 中華快遞
中華航空 華航大飯店
中華航空 先啟資訊系統
中華航空 華信航空
中華航空 華旅網際旅行社
中華航空 華儲
中華航空 臺灣航勤
中華航空 桃園航勤
中華航空 全球聯運
中華航空 華航園區
中華航空 高雄空廚
中華航空 華夏
中華航空 華懋國際廣告
中華航空 華膳空廚
中華航空 華潔洗滌
恆富投資 台灣新光不動產開發
佳川 凱月
山富紙業 仁云
山富紙業 民豐塑膠
山富紙業 悅隆
山富紙業 正太科技
山富紙業 山發
微矽電子 鑫成科技
微矽電子 桓宇電子
微矽電子 大日月投資有限公司
百利百 高銀化學工業
欣寶投資 威寶電信
清新國際 佳昇休閒育樂
萬國商業開發 維達開發
萬國商業開發 大陸建設
新典自動化 士林電機廠
新典自動化 億豐綜合工業
新典自動化 金寶電子工業
台北太陽能實業 百勳投資
台北太陽能實業 大台北區瓦斯
宏發半導體科技 中央投資
宏發半導體科技 跨世紀投資有限公司
宏發半導體科技 群碁投資
國賓影城 六福開發
國賓影城 國元影業
龍生工業 立捷投資
龍生工業 光寶科技
跨世紀投資有限公司 宏碁
通產企業 欣欣天然氣
通產企業 榮僑投資
通產企業 欣泰石油氣
欣賢科技 啟台
欣賢科技 永嘉國際開發
欣賢科技 元勛國際
宏達電投資 御達有限公司
宏達電投資 宏達國際電子
龍騰國際投資 龍騰旅行社
龍騰國際投資 國盛旅行社
優鑫室內裝修 佑美生物科技
優鑫室內裝修 優美貿易
優鑫室內裝修 優美椅業
優鑫室內裝修 昌裕建設
優鑫室內裝修 旭優
美德醫療器材 明義醫療器材
詠欣投資 嘉裕
盈正豫順電子 漢唐集成
台富國際 愛寶諾國際開發
台富國際 東海岸休閒開發
台富國際 耐斯企業
台富國際 愛之味
台富國際 和鼎國際開發
台富國際 台富食品工業
連盛食品 連全投資企業有限公司
連盛食品 南聯國際貿易
雲保 大同醫護
興翰科技 新眾電腦
威聯企業 南聯國際貿易
尚億投資 磐固光電
尚億投資 上河工業
明富智財管理顧問有限公司 臻瑞產業育成
誠立 聯盛投資
和成欣業 豪士多
和成欣業 三鼎材料科技
和成欣業 築禮國際
和成欣業 和丞興業
和成欣業 富禾投資
和成欣業 弘喬投資
和成欣業 郁弘
和成欣業 和鴻投資
王亞尚形國際 建弘國際投資
波比特科技 瑞昱半導體
中國信託金融控股 中信保全
中國信託金融控股 長基投資有限公司
中國信託金融控股 中國信託證券投資信託
中國信託金融控股 仲成投資
中國信託金融控股 中國信託人壽保險
中國信託金融控股 中國信託創業投資
中國信託金融控股 中國信託商業銀行
中國信託金融控股 中國信託資產管理
中國信託金融控股 台灣彩券
建昌國際投資 普騰電子工業
億力 源星生醫科技
億力 映泰
億力 祥碩科技
德鎮盛工程 德昌營造
昌和投資 普邦科技
華旭科技 華立企業
富鼎科技顧問 富鼎先進電子
幸福建設企業 立光建設
幸福建設企業 永盛開發實業
和興國際開發 邦保羅
和興國際開發 豪宬企業
宇澔投資開發 信義不動產顧問
宇澔投資開發 宇衡投資
怡盛國際資產管理 千翔保全
怡盛國際資產管理 隆安國際社顧問
新格實業 富磐科技
新格實業 富帝投資
新格實業 富帝國際
義大遊覽車 泛喬
義大遊覽車 利新事業
義大遊覽車 義大開發
創為精密材料 唐威科技
創為精密材料 建碁
上洋興業 太崇興業
志生不動產 尚志資產開發
聯捷投資 介面光電
聯捷投資 神達電腦
聯捷投資 華孚科技
聯捷投資 神基科技
聯捷投資 聯訊管理顧問
弘宜能源技術服務 正裕科技工程
信德生技 信東流通事業
智動科技 虹堡科技
智動科技 華凌光電
啟航創業投資 東聯化學
啟航創業投資 兆豐國際商業銀行
啟航創業投資 中鋼碳素化學
啟航創業投資 因華生技製藥
啟航創業投資 中盈投資開發
新光行銷 臺灣新光商業銀行
璞真誠美建築開發 璞真建設
璞真誠美建築開發 誠美建築開發
天韻旅館 益安投資
天韻旅館 友喬投資有限公司
天韻旅館 燁新投資有限公司
台灣佳光電訊 台灣數位光訊科技
台灣佳光電訊 冠華管理顧問
守富谷科技 環隆科技
麗瓚 麗嬰房
上元科技 智邦科技
立碁電子工業 立碁光能
立碁電子工業 享慶科技
立碁電子工業 詮興開發科技
長榮航空 長榮航太科技
長榮航空 長榮航勤
長榮航空 翔利投資
長榮航空 長榮空運倉儲
長榮航空 長榮警備保全
長榮航空 長榮國際
長榮航空 關貿網路
長榮航空 長榮海運
光大聯合重車 光星實業
台豐國際鞋業 泛亞鞋業
台豐國際鞋業 貝里尼
華昌投資實業 桃園育樂事業
華昌投資實業 悅華大酒店
華昌投資實業 華志創業投資
汎航通運 臺灣化學纖維
汎航通運 南亞塑膠工業
汎航通運 臺灣塑膠工業
信誼企業 精益裝訂
信誼企業 竹本堂文化事業
信誼企業 上誼文化實業
信誼企業 漢唐管理顧問
信誼企業 永豐紙業
信誼企業 永信誼實業
信誼企業 啟業化工
信誼企業 先豐通訊
信誼企業 富華開發企業
信誼企業 信誼投資事業
聯昇投資 實密科技
聯昇投資 燿華電子
資鼎中小企業開發 展連科技
資鼎中小企業開發 戲子科技
資鼎中小企業開發 智慧時尚
資鼎中小企業開發 富崴國際投資
忠正 美鑫投資
忠正 榮炭科技
忠正 金新投資
瑞理投資有限公司 理義科技
長裕複合物流 長榮國際儲運
長裕複合物流 裕毛屋企業
宜濟建設 臺灣化學纖維
宜濟建設 南亞塑膠工業
宜濟建設 臺灣塑膠工業
宜濟建設 台塑石化
浩鑫 浩鑫電腦
浩鑫 宏宜投資
盛賀投資 企榮
志氣高電影 歐華創業投資
志氣高電影 中藝國際影視
志氣高電影 中國信託創業投資
志氣高電影 育華創業投資
霆達科技 捷元
東昇應材 聚昌科技
華成自動化設備 華新科技
米堤旅行社 合家歡休閒
台北商旅慶城 台北商旅
台北商旅慶城 官邸飯店
世紀民生科技 新揚投資
世紀民生科技 華立投資
聯毅 聯準行銷顧問
飛凡文化事業 飛凡傳播
吸元國際育樂 金樂利國際有限公司
吸元國際育樂 上盈國際育樂
吸元國際育樂 吸引力文創娛樂
中部廣告事業 富園事業
中部廣告事業 北區廣告事業
中部廣告事業 南區廣告事業
穩泰投資有限公司 科技島
清境旅行社 南投汽車客運
富必嘉企業 源景創業投資
新燕實業 統陽房屋仲介有限公司
新燕實業 懿轞事業
新燕實業 惇棋實業
新燕實業 利得國際開發
新燕實業 美協事業
新燕實業 廣澤投資
新燕實業 美利都事業
新燕實業 新竑亮實業
榮民工程 欣欣水泥企業
榮民工程 榮工實業
榮民工程 聯合大地工程顧問
榮民工程 達榮環保
羿鳴 新義興投資有限公司
和詮科技 台虹科技
高興工業 高興昌鋼鐵
京順 南和興產
康訊全球電子商務 環訊創業投資
康訊全球電子商務 太世科網路行銷
中國物產 兆豐國際商業銀行
安永生物科技 崇越科技
安永生物科技 安永生活事業
協立光電 凱昱投資
協立光電 台虹科技
台灣動力工程 華威世紀創業投資
鼎昌行銷 品冠行銷
台塑合成橡膠工業 臺灣化學纖維
台塑合成橡膠工業 南亞塑膠工業
台塑合成橡膠工業 台塑石化
永琪貿易 北原工業
太聯科技 國瑞資產管理有限公司
太聯科技 博經科技
觀塘工業專用港 東鼎液化瓦斯興業
鑫永投資 屏東汽車客運
鑫永投資 台芝電子
鑫永投資 昇輝生物科技
鑫永投資 順兆化學工業
中國人壽保險 嵐灣投資有限公司
中國人壽保險 泰利投資
中國人壽保險 緯來電視網
億威電子系統 義群科技
億威電子系統 建寰科技
億威電子系統 燁輝企業
統一數網 統一企業
福庭實業 文福投資實業
時祿旺餐飲 晶旺餐飲
友吉投資 鴻洋多媒體
友吉投資 太電數位科技
友吉投資 洋溢投資
友吉投資 聯合光纖通信
啟台 彬台科技
啟台 艾安得
啟台 永嘉國際開發
台芝電子 嘉美工業
六和機械 六和紡織廠
六和機械 六和國際科技
六和機械 環泥投資
六和機械 太惠和汽車事業
六和機械 金力誠汽車事業
六和機械 冠和投資
六和機械 延陵投資
六和機械 七和實業
六和機械 宏華創業投資
六和機械 金鍛工業
建輝投資事業 瑞暉企業
建輝投資事業 建輝貿易
康勛 協禧電機
德杉實業 佳杉實業
裕泓投資 翔韋投資
裕泓投資 永翰投資
裕泓投資 裕隆汽車製造
裕泓投資 裕元開發建設
超峰快遞 盛年投資
超峰快遞 台灣嘉里物流
金門開發 中國航運
安豐企業 遠東國際商業銀行
安豐企業 國產實業建設
安豐企業 上海商業儲蓄銀行
安豐企業 兆豐國際商業銀行
康鑫 豐益投資
康鑫 益清投資
康鑫 順鑫資產管理
康鑫 欣業製衣有限公司
璨碩科技 賀大投資
璨碩科技 美東投資
華鵬投資 華鵬影城
優加數位 粲豐投資
精技電腦 精豪電腦
精技電腦 德桃創業投資
精技電腦 精聯電子
精勝興 精富國際
實陽建設 新東陽房屋仲介
實陽建設 宏芯科技
實陽建設 欣鼎陽建設
優智科技 國碩科技工業
亞碩綠能 碩英
力合開發實業 寶晶
力合開發實業 威典投資
力合開發實業 力山工業
佳蒔企管顧問 國協
和航汽車 和潤企業
欣隆天然氣 宜隆瓦斯
欣隆天然氣 民眾文化出版社
欣隆天然氣 新海瓦斯
欣隆天然氣 大台北區瓦斯
欣隆天然氣 基信投資
欣隆天然氣 民眾新聞
旭皇開發 旭佳科技
川豐投資 天氣風險管理開發
川豐投資 川芳管理顧問
川豐投資 聯邦保全
川豐投資 天源科技
智仁科技開發 智旺科技
智仁科技開發 新相光學
智仁科技開發 智安電子
智仁科技開發 力積電子
智仁科技開發 力信投資
智仁科技開發 世成科技
智仁科技開發 力晶科技
智仁科技開發 智立投資
智仁科技開發 仁典投資
智仁科技開發 世仁投資
智仁科技開發 智豐科技
興太化學製藥 玉美研檢驗科技
興太化學製藥 興農
多加投資 光寶科技
統上開發建設 明大企業
統上開發建設 懷仁國際
統上開發建設 統一企業
統上開發建設 南科聯合興業
三陽投資 漢眾實業
三陽投資 慶澧
三陽投資 慶誠建設開發
三陽投資 鼎豪實業
三陽投資 慶豐半導體科技
三陽投資 泰陽營造
三陽投資 慶豐商業銀行
三陽投資 三陽建設
三陽投資 豐達貿易
三陽投資 慶豐環宇
炳榮 集強
炳榮 超格實業
炳榮 和宏氣體
炳榮 恆益投資
正林投資 士林電機廠
正林投資 新合投資
文正投資 天正國際精密機械
金園投資 第一金融控股
宏實建設 聖倫投資
國泰人壽保險 國泰證券投資顧問
瑞茂投資 匯鑽科技
瑞茂投資 瑞軒科技
晶心科技 智宏投資
晶心科技 建邦顧問
晶心科技 翔發投資
新越能源 崇太能源
洋鼎科技 日月光半導體製造
兆陽光電科技 昇陽光電科技
和茂創業投資 和桐化學
世家興業 台灣鋼聯
霹靂國際多媒體 偶動漫娛樂事業
霹靂國際多媒體 薪傳創意國際
霹靂國際多媒體 吉利投資
霹靂國際多媒體 世茂投資
安葳科技 前源科技
康和資產管理 康和投資
康和資產管理 瑞年投資
康和資產管理 安利投資
嵐瑞投資 國貿
嵐瑞投資 亞泰金屬工業
易福網 豐益國際投資有限公司
易福網 寶鼎投資
易福網 奕福科技
易福網 全穎投資
醣基生醫 鑽石生技投資
醣基生醫 玉山創業投資
醣基生醫 長春投資
華展投資 宏普建設
眾晶科技 神乎科技
眾晶科技 鎮宇通訊
眾晶科技 大眾電腦
眾晶科技 宗經投資
眾晶科技 大眾全球投資控股
承欣投資有限公司 普鴻資訊
宜羚有限公司 精碟科技
台灣櫻花 錦榮投資
台灣櫻花 雅適國際
台灣櫻花 卜大實業
獅王工業 慶宜
獅王工業 和益化學工業
欣龍投資 臺龍電子
富亦碩國際投資有限公司 太佳開發
凡恩科技有限公司 智捷科技
新寳實業 瑞商實業
強盛染整 威盛實業
強盛染整 保強建設開發
強盛染整 富錦投資
強盛染整 弘盛投資
強盛染整 新光資產管理
強盛染整 旭強投資
強盛染整 創意疫苗科技
強盛染整 網路育成
強盛染整 合盛投資
宏碁資訊服務 宏碁
亞東電子商務 遠傳電信
亞東電子商務 遠東百貨
亞東電子商務 太平洋崇光百貨
亞東電子商務 新世紀資通
娜路彎大酒店 新台旅行社
娜路彎大酒店 昇恒昌
娜路彎大酒店 新台
娜路彎大酒店 全茂投資
娜路彎大酒店 皇家郁金香大酒店
映達連 福潤投資
發聲現場 相信音樂國際
發聲現場 瑞揚專業音響有限公司
宏展國際投資 宏遠興業
昕明實業 福麟系統整合
上銀行銷 上海商業儲蓄銀行
中華雙子星開發 中國石油化學工業開發
中華雙子星開發 中華工程
君匯開發 基泰建設
勝霖藥品 生達化學製藥
勝霖藥品 優盛醫學科技
軒豊 均碩國際
軒豊 旭德科技
夢幻山 越冠國際開發
夢幻山 耐斯企業
一禮餐飲 六福開發
健誠國際汽車實業 優勢投資有限公司
健誠國際汽車實業 艾瑪車輛物資
精湛亞太建設開發 寶成工業
正達生技有限公司 正聲廣播
大力夯數位科技 捷達威數位科技
瑞緯整合傳播 億泰利多媒體
瑞緯整合傳播 決策公關顧問
國興資訊 雲鼎國際資訊服務
國興資訊 興農
大陽不動產開發 華期創業投資
大陽不動產開發 大華建設
譜光儀器 辛耘企業
揚智投資 寶島村開發投資
揚智投資 創意家行銷
揚智投資 創藝家建設
蓉達企業 力長企業
東森人身保險代理人 東森信息科技
東森人身保險代理人 遠富國際
東森人身保險代理人 東森鼎豐人身保險代理人
東森人身保險代理人 鼎豐傳播事業
嘉利冷鏈設備 嘉里大榮物流
嘉佑行銷 瑩佳實業有限公司
嘉佑行銷 維力食品工業
光聯科技 勤敏投資
德臣企業 泰山企業
緹美建設 吉美建設事業
致新科技 致強投資
致新科技 大鵬投資
大台北區瓦斯 粵興華投資
大台北區瓦斯 啟業化工
大台北區瓦斯 欣欣天然氣
大台北區瓦斯 盛美企業
大台北區瓦斯 千島投資
大台北區瓦斯 群和創業投資
大台北區瓦斯 新昕國際
大台北區瓦斯 新海瓦斯
大台北區瓦斯 大台北寬頻網路
大台北區瓦斯 家邦投資
大台北區瓦斯 東鼎液化瓦斯興業
大台北區瓦斯 仰德投資事業
大台北區瓦斯 瑞士大飯店
大台北區瓦斯 洽發企業
大台北區瓦斯 新保投資
大台北區瓦斯 百勳投資
大台北區瓦斯 新光紡織
新高生物科學 台灣花卉生物技術
寶隆國際 玉瑪營造
寶隆國際 榮華開發投資
寶隆國際 榮成紙業
寶隆國際 玉瑪投資
寶隆國際 義源投資
寶隆國際 榮聖投資
寶隆國際 玉瑪國際
大立旅行社 旗豐旅行社
統清 統一企業
統清 凱友投資
佳愛 佳赫投資
佳愛 佳儀投資
佳愛 佳醫健康事業
善化羊角村 豐澤開發投資
善化羊角村 高青開發
善化羊角村 善化建設
順安產業 長榮國際儲運
順安產業 聯合碼頭裝卸承攬
誼德光電科技 南亞光電
達方電子 佳世達科技
達方電子 達泰科技
達方電子 達瑞創新
達方電子 正利投資
元隆投資有限公司 智聖電子
運盈投資 運鴻投資
運盈投資 中盈投資開發
全能營養技術 大成長城企業
嘉才投資有限公司 趨勢照明
大升開發 幸福水泥
福客多商店 便利達康
福客多商店 喜威世流通
福客多商店 泰山企業
鋅呈工業 毅金精密
正泰水泥廠 正泰資源開發
正泰水泥廠 東樹投資
正泰水泥廠 東南造紙
正泰水泥廠 友隆企業
正泰水泥廠 澎湖灣
正泰水泥廠 台灣混凝土工業
正泰水泥廠 澎湖有線電視
正泰水泥廠 東南實業建設
正泰水泥廠 東南投資
士新儲運 萬青水泥
士新儲運 德勤投資
士新儲運 南華水泥
士新儲運 嘉環東泥
新海瓦斯 欣欣天然氣
新海瓦斯 欣淼投資
新海瓦斯 啟業化工
新海瓦斯 大台北寬頻網路
新海瓦斯 光偉投資
新海瓦斯 新瓦投資
新海瓦斯 朋萊
米加勒興業 加百列
米加勒興業 日鼎興業
米加勒興業 太平洋生活休閒事業
旋風投資 力特光電科技
裕隆通用汽車 裕隆汽車製造
旭旺餐飲 晶旺餐飲
智億投資 聯碩投資開發
智億投資 興隆投資開發
智億投資 偉鈜投資開發
智億投資 偉喬投資開發
燦星網通 冠力投資
燦星網通 冠騰國際投資
燦星網通 金鑛連鎖企業
燦星網通 燦星國際旅行社
燦星網通 燦星文創
燦星網通 五花馬國際行銷
燦星網通 大祈環保科技
燦星網通 燦坤投資
璞聖投資 璞永建設
寶裕第二投資 日新開發投資
寶裕第二投資 艾姆勒車電
寶裕第二投資 富裕開發投資
第一華僑大飯店 萬華企業
第一華僑大飯店 上准工程
第一華僑大飯店 港九香滿樓餐廳
第一華僑大飯店 今日
永吉能源 永宸能源
永吉能源 和協工程
慎泰貿易有限公司 和貿國際
萬利順 萬利通
萬利順 南和興產
耀輝投資 燁輝企業
耀輝投資 偉鈜投資開發
耀輝投資 聯碩投資開發
耀輝投資 興隆投資開發
耀輝投資 偉喬投資開發
耀輝投資 佳源投資開發
永鍊 永大機電工業
工信工程 工信開發
工信工程 展邦建設
工信工程 全發投資有限公司
工信工程 宏誼投資
工信工程 捷邦管理顧問
工信工程 全富投資有限公司
永翰投資 新揚投資
永翰投資 裕朋實業
永翰投資 怡通國際
永翰投資 裕景實業
永翰投資 力大投資
永翰投資 裕隆汽車製造
國賓大飯店 三共運輸
國賓大飯店 士林電機廠
國賓大飯店 意舍墾丁
國賓大飯店 新竹高爾夫俱樂部
國賓大飯店 賓士投資
國賓大飯店 林口育樂事業
國賓大飯店 和昇投資有限公司
國賓大飯店 新保投資
國賓大飯店 仰德投資事業
國賓大飯店 嘉賓投資
國賓大飯店 鼎林企業
國賓大飯店 國賓投資
國賓大飯店 群欣置業
國賓大飯店 國賓經典食品
國賓大飯店 景德勝
盛年投資 全國加油站
盛年投資 大合投資有限公司
和裕投資 和全保險代理人
和裕投資 金崇實業
和裕投資 資薈企業
和裕投資 上燿投資
和裕投資 豊岡企業
和裕投資 金鋒山
和裕投資 旭和螺絲工業
和裕投資 貴隆投資
和裕投資 泰誠資訊
和裕投資 明昭投資
和裕投資 和美投資
和裕投資 和昭實業
和裕投資 大全彩藝工業
和裕投資 南都汽車
和裕投資 和安保險代理人
和裕投資 德業投資
和裕投資 南俊投資
和裕投資 迪嘟投資
和裕投資 遠拓投資
和裕投資 倍適得電器
和裕投資 國都汽車
新光樂活事業 新光海洋企業
新光樂活事業 王田毛紡
新光樂活事業 新勝
新光樂活事業 永增企業
新光樂活事業 永光
新光樂活事業 東賢投資有限公司
聯昌電子企業 東元電機
聯昌電子企業 聯昭科技
聯昌電子企業 勤實佳稅務顧問有限公司
凌開投資 青山鎮企業
凌開投資 誠品
東麗 來來百貨
國亨投資 國喬石油化學
東森信息科技 遠富國際
東森信息科技 鼎豐傳播事業
禾煜投資開發 宸和科技
華夏 華欣公寓大廈管理維護
長欣營造 昇捷建設
邦英生物科技 佳邦投資
邦英生物科技 新利虹科技
邦英生物科技 威豪聯合
邦英生物科技 聯茂電子
皇昌營造 和昌國際工業
皇昌營造 豐鑫開發投資
棉花田生機園地 中天生物科技
棉花田生機園地 宜泰投資
百皓貿易有限公司 和貿國際
繪捷資訊 亞頌科技
雍禾投資 福竑
雍禾投資 奧斯卡建設
高旗旅行社 高雄汽車客運
心之芳庭 裕大興實業
心之芳庭 薰衣草森林
立農化學 立大開發投資
振添 宇順投資有限公司
振添 福林工程
泰新系統 永豐創業投資
全翊投資 三五紡織
中宇投資 康聯投資
中宇投資 華和資產管理
中宇投資 康宇投資
興又富 南和興產
網勁科技 森森百貨
網勁科技 城市通文創傳媒
捷信汽車 富生企業管理有限公司
聯景光電 聯電新投資事業
永實開發 田野建設
永實開發 台灣鑛資工業
創意電子 創一投資
創意電子 台灣積體電路製造
百達無線 亞元科技
台灣豊田車体特裝車 春源鋼鐵工業
台灣豊田車体特裝車 全興投資開發
明星藝能娛樂有限公司 明星藝能
勝璽投資有限公司 為同科技
易維特科技 威達電動車
易維特科技 致茂電子
璞永建設 安加投資
璞永建設 璞成廣告
璞永建設 璞寶營造
璞永建設 璞初停車
璞永建設 璞慶建設
璞永建設 上顓投資有限公司
璞永建設 禾眾投資
璞永建設 璞慧建設
璞永建設 璞全建設
璞永建設 春福投資
璞永建設 璞煌投資
大河工程顧問 大亞電線電纜
台灣陸地投資 關貿網路
台灣陸地投資 台灣工銀貳創業投資
台灣陸地投資 玉坤交通
台灣陸地投資 台灣工銀創業投資
大永興業 永青研發
大永興業 台灣鑛資工業
大永興業 田野建設
大永興業 永創投資
聯誠投資開發 毅錩金屬
聯誠投資開發 締霖企業
聯誠投資開發 裕航運輸
聯誠投資開發 冠崴企業
聯誠投資開發 裕鐵企業
宜進實業 光和證券
宜進實業 宏洲化學工業
宜進實業 百峰國際針織
宜進實業 光明絲織廠
宜進實業 欣懋投資
宜進實業 宏大拉鍊
宜進實業 億東纖維
建漢 康光
建漢 安奐
永賀投資有限公司 正基科技
億東纖維 臺灣育成中小企業開發
億東纖維 第一租賃
亞洲水泥 鼎鼎大飯店
亞洲水泥 亞利預鑄工業
亞洲水泥 東聯化學
亞洲水泥 遠東新世紀
亞洲水泥 南華水泥
亞洲水泥 遠鼎租賃
亞洲水泥 亞洲工程企業
亞洲水泥 大聚化學纖維
亞洲水泥 遠龍不銹鋼
亞洲水泥 遠東百貨
亞洲水泥 中聯資源
亞洲水泥 裕民
亞洲水泥 亞利通運
亞洲水泥 百揚投資
亞洲水泥 德勤投資
亞洲水泥 高雄捷運
亞洲水泥 裕元投資
亞洲水泥 遠東國際商業銀行
亞洲水泥 亞東預拌混凝土
亞洲水泥 富民運輸
誠研科技 謙華科技
誠研科技 謙豐投資
惠譽投資有限公司 新聯成投資
光友 光元實業
光友 東友科技
光友 日晟
光友 光菱電子
光友 發生文化
光友 兆世實業
光友 光元
靖海投資 中山創業投資
靖海投資 華南創業投資
愿泰企業 南聯國際貿易
中美聯合實業 馥友投資
中美聯合實業 立弘生化科技
中美聯合實業 元興開發
中美聯合實業 建宏投資有限公司
中美聯合實業 宸美國際
琉明斯光電科技 艾發投資
台新證券投資信託 台新金融控股
玉山創業投資 玉山金融控股
萬利潤 南和興產
新威光電 新光鋼鐵
大毅技術工程 毅創國際
大毅技術工程 泰勝科技
智典國際 力晶科技
智典國際 世仁投資
智典國際 力信投資
冠福投資 榮圖投資
冠福投資 李永祥開發
冠福投資 幸福品味實業
金臣室內裝修設計 僑馥建築經理
雲達科技 廣達電腦
康健生化 台灣苯乙烯工業
瑛宏商業 智捷科技
京成建設 建誌營造
京成建設 新銳投資
厚生 瑞孚開發事業
厚生 宏鑫創業投資
厚生 板建開發
厚生 風和開發
厚生 瑞錦國際
厚生 厚茂
達能科技 永旺能源
大賀電子 榮展投資
璽鈞投資 德利勤科技
源泰投資 敦南科技
源泰投資 宏翔光電
源泰投資 耀登科技
源泰投資 光林電子
源泰投資 光寶科技
源泰投資 光寶綠色能資科技
台越技術顧問 金車
台越技術顧問 義美食品
金暘 金鑛連鎖企業
威旺投資 宏昇建設
阿爾格工程有限公司 新光鋼阿爾格工程
惠得投資 華陸創業投資
惠得投資 德昌營造
惠得投資 華志創業投資
裕隆汽車製造 中華台亞
裕隆汽車製造 裕唐汽車
裕隆汽車製造 滙聯汽車
裕隆汽車製造 裕信汽車
裕隆汽車製造 裕隆酷比汽車
裕隆汽車製造 裕朋實業
裕隆汽車製造 華擎機械工業
裕隆汽車製造 裕盛工業
裕隆汽車製造 慶通汽車
裕隆汽車製造 中華職業籃球
裕隆汽車製造 裕民汽車
裕隆汽車製造 裕隆電能
裕隆汽車製造 華創車電技術中心
裕隆汽車製造 誠隆汽車
裕隆汽車製造 裕昌汽車
裕隆汽車製造 裕隆日產汽車
裕隆汽車製造 裕新汽車
裕隆汽車製造 穎西工業
裕隆汽車製造 裕融企業
裕隆汽車製造 七和實業
裕隆汽車製造 行將企業
裕隆汽車製造 台文針織
裕隆汽車製造 欣欣客運
裕隆汽車製造 行冠企業
裕隆汽車製造 裕景實業
裕隆汽車製造 北都酷比汽車
裕隆汽車製造 裕器工業
裕隆汽車製造 力大投資
裕隆汽車製造 元隆汽車
裕隆汽車製造 行企
裕隆汽車製造 新盛二創業投資
裕隆汽車製造 友永
裕隆汽車製造 友聯車材製造
裕隆汽車製造 新安東京海上產物保險
裕隆汽車製造 正源科技
裕隆汽車製造 樂文實業
裕隆汽車製造 協欣金屬工業
台灣鋼聯 聯成鋼鐵
台灣鋼聯 豐興鋼鐵
台灣鋼聯 龍慶鋼鐵企業
台灣鋼聯 建順煉鋼
台灣鋼聯 協勝發鋼鐵廠
台灣鋼聯 東和鋼鐵企業
美好實業 台灣苯乙烯工業
美好實業 榮福
美好實業 陽明山天籟藝術村開發
美好實業 元耀開發
美好實業 致恩科技
美好實業 裕盛開發
美好實業 元捷投資
量子投資 華義國際數位娛樂
新工光電科技 誼光國際公寓大廈管理維護
新工光電科技 新保投資
臺銀綜合保險經紀人 臺灣銀行
維田科技 南京資訊
維田科技 系統電子工業
國興水泥 國產實業建設
國興水泥 欣蘭企業
隴華電子 羅得投資
隴華電子 華助工程
隴華電子 欣慶投資開發
國光汽車客運 艾瑪車輛物資
國光汽車客運 羅得投資
國光汽車客運 北橋建設
國光汽車客運 山圓建設
國光汽車客運 臺灣智慧卡
國光汽車客運 國光商行
國光汽車客運 成運汽車製造
正達國際 增你強
康全工程 味全食品工業
台灣福雷電子 日月光半導體製造
凱友投資 統一企業
凱友投資 明大企業
凱友投資 統樂開發事業
凱友投資 統一東京
凱友投資 統冠生活事業
凱友投資 統駿國際
凱友投資 統昂企業
凱友投資 統欣生物科技
凱友投資 統輝
凱友投資 統健實業
凱友投資 統奕包裝
悅康健康管理顧問科技 可成科技
承立通運 紳立通運
承立通運 潤立通運
承立通運 八達交通
承立通運 聖立通運
緯創軟體 緯創資通
緯創軟體 世仲
緯創軟體 士友資訊科技
臺鍍科技 鴻鐘企業有限公司
臺鍍科技 晶越科技
固邦有限公司 金祐國際開發
固邦有限公司 漢神名店百貨
固邦有限公司 高品有限公司
固邦有限公司 漢來國際飯店
固邦有限公司 吉贊實業
富鈺投資 廣宇科技
錦德投資 鉅祥企業
三興資訊 和安保險代理人
凱基期貨 凱基證券
凱基期貨 臺灣期貨交易所
世仁投資 富爾特科技
世仁投資 智安電子
世仁投資 瑞力科技
世仁投資 力新國際科技
世仁投資 奕力科技
世仁投資 力宇創業投資
世仁投資 世成科技
世仁投資 力晶科技
世仁投資 力旭光電
世仁投資 網星資訊
世仁投資 利翔航太電子
世仁投資 智成電子
三和紙業 華期創業投資
三和紙業 新營三和紙業
保綱國際 華天國際
保綱國際 靖洋傳媒科技
保綱國際 華洲生物科技
大恒電線電纜 大亞電線電纜
大恒電線電纜 嘉禧投資
台灣穗高工業 台灣穗高科技
台灣穗高工業 新台
泰鋒電腦 精誠系統
泰鋒電腦 精誠資訊
璞煦廣告 璞全廣告
新臺灣農業機械 永豐工業
裕國冷凍冷藏 德昌國際投資
裕國冷凍冷藏 德霖投資有限公司
裕國冷凍冷藏 裕富餐飲
裕國冷凍冷藏 裕鵬物流
亞信電子 力山工業
冠英國際 寶立行銷
冠英國際 豊岡企業
永美汽車 日勝汽車
永美汽車 第一保險經紀人
永美汽車 榮吉投資
匯豐投資有限公司 會信實業
匯豐投資有限公司 萬聯興業
匯豐投資有限公司 永光
文方實業 文菱科技
文方實業 南亞塑膠工業
數碼醫療器材 冠澤
肯園國際 韓鄒投資
泉智生物科技 泉發生物科技
寬達科技 尚揚創業投資
寬達科技 智二創業投資
寬達科技 中盈投資開發
臺灣期貨交易所 元大證券金融
臺灣期貨交易所 臺灣銀行
臺灣期貨交易所 永豐金證券
臺灣期貨交易所 聯邦商業銀行
臺灣期貨交易所 富邦綜合證券
臺灣期貨交易所 華南期貨
