福懋興業 廣越企業
福懋興業 福懋科技
福懋興業 南亞科技
福懋興業 峰星投資
福懋興業 南亞光電
全智科技 菱生精密工業
全智科技 建邦顧問
全智科技 開發科技顧問
璟佳科技 百堅投資
亞洲航空 台翔航太工業
亞洲航空 台灣糖業
光晟旅行社 詠霖投資
光晟旅行社 榮杰
慕德生物科技 富灣
慕德生物科技 源義
慕德生物科技 慕洋生物科技
慕德生物科技 賽德醫藥科技
哲誠工業 穎科投資
車美仕 和裕投資
車美仕 和泰汽車
睿盈投資 歐特斯
睿盈投資 晶睿通訊
旭富科技 聯測科技
立茂投資 立熠投資
山立通運 東立物流
山立通運 台灣先進捷通
山立通運 玉山金融控股
山立通運 三立投資
晉禾企業 亞太精鍍
晉禾企業 高雄銀行
晉禾企業 大成國際鋼鐵
晉禾企業 一卡通票證
晉禾企業 騰龍休閒
晉禾企業 龍騰休閒
晉禾企業 金順利工業
寶坤實業 大智加油站
寶坤實業 欣雄天然氣
寶坤實業 欣南天然氣
寶坤實業 寶泰投資
寶坤實業 坤泰投資
寶坤實業 欣彰天然氣
和平工業區專用港實業 臺灣水泥
國際先進音樂 國際先進數碼科技
國際先進音樂 九如投資
承舍室內裝修 優美
德岳實業 弘捷投資
德岳實業 德時實業
德岳實業 新光三越百貨
德岳實業 新光合成纖維
和盟流通 愛之味
和盟流通 台富食品工業
和盟流通 匯孚投資開發
和盟流通 耐斯企業
和盟流通 統一證券投資信託
位吉 吉思通訊
位吉 精泉科技
長城國際開發 志城投資
長城國際開發 中興資訊
長城國際開發 同泰電子科技
馥園投資 長青孝園
愛心屋行銷 愛之味
網際優勢 德勤投資
網際優勢 中盈投資開發
網際優勢 鼎大投資
網際優勢 亞洲投資
邦毅科技 聯華電信
辰亞興業 台機船舶廠
辰亞興業 長青
辰亞興業 和仁港灣開發
辰亞興業 經一投資
辰亞興業 友隆企業
茂生投資 亞信電子
麗禾國際 麗臺科技
羅迪精密 泓瀚科技
實盈光電 曜瑞光電科技
實盈光電 弘晉投資
實盈光電 實盈
富都企業 新和化學
富都企業 艾博信薄膜科技
富都企業 新能化工
台灣京濱化油器 光陽工業
台灣京濱化油器 三陽工業
茂網科技 東光投資
裕民航運 遠傳電信
裕民航運 遠鼎投資
裕民航運 遠東新世紀
裕民航運 裕鼎實業
裕民航運 遠揚建設
裕民航運 裕利投資
裕民航運 環能海運
裕民航運 裕通投資
裕民航運 亞洲投資
裕民航運 裕元投資
裕民航運 亞利通運
裕民航運 亞洲水泥
潤信國際 昱信投資
東雲 中港金典國際酒店
東雲 東華開發
東雲 日昇圓實業
東雲 東豐纖維企業
玉章企業 欣湖企業
玉章企業 世湘企業
宏陽科技 凌陽科技
敖特實業 萬源紡織
智付寶 智冠科技
奕昌事業 傑森兄弟
奕昌事業 捷聞實業
順和投資 台北世界貿易中心國際貿易大樓
全青 民間全民電視
全青 味王
礁溪九號 伍仙吉有限公司
礁溪九號 民凱企業
歐勝科技 群豐科技
捷飛國際有限公司 速捷力國際
臺灣水泥 萬青水泥
臺灣水泥 和豐投資
臺灣水泥 中國合成橡膠
臺灣水泥 十祥投資
臺灣水泥 台灣通運倉儲
臺灣水泥 富品投資
臺灣水泥 信昌投資
臺灣水泥 能元科技
臺灣水泥 達和航運
臺灣水泥 光和耐火工業
臺灣水泥 國產實業建設
臺灣水泥 泛亞工程建設
臺灣水泥 榮工實業
臺灣水泥 達榮環保
臺灣水泥 中聯資源
臺灣水泥 臺灣工業銀行
臺灣水泥 中信投資
臺灣水泥 東成石礦
臺灣水泥 信和投資有限公司
臺灣水泥 臺泥化學工業
臺灣水泥 金昌石礦
臺灣水泥 達和環保服務
臺灣水泥 合盛礦業
臺灣水泥 達和彰北環保
臺灣水泥 光和建設開發
臺灣水泥 台灣工銀貳創業投資
臺灣水泥 清園投資
臺灣水泥 臺泥資訊
臺灣水泥 台灣士敏工程企業
臺灣水泥 達和大豐環保
臺灣水泥 新光合成纖維
臺灣水泥 嘉新水泥
臺灣水泥 恆強投資
臺灣水泥 東宇興業
臺灣水泥 臺灣電視事業
臺灣水泥 信昌化學工業
臺灣水泥 鳳勝實業
臺灣水泥 和平電力
宏金工業 久疆投資
宏金工業 金皓科技
宏金工業 宏泰電工
新北建設 華億投資
家媖實業 家閤實業
冠華創業投資 上海商業儲蓄銀行
冠華創業投資 元大創業投資
冠華創業投資 中加投資發展
冠華創業投資 兆豐國際商業銀行
冠華創業投資 環宇投資
冠華創業投資 台灣石化合成
冠華創業投資 國票綜合證券
冠華創業投資 台新創業投資
百地開發實業 翰光
百地開發實業 國揚實業
宇啟國際實業 大威國際實業
宇啟國際實業 大立國際實業
宇啟國際實業 威盈國際實業
開發國際投資 環華證券金融
開發國際投資 中華開發工業銀行
開發國際投資 第一商業銀行
開發國際投資 華南商業銀行
開發國際投資 臺灣中小企業銀行
開發國際投資 兆豐國際商業銀行
開發國際投資 中鼎工程
開發國際投資 國泰世華商業銀行
開發國際投資 鵬寶科技
開發國際投資 彰化商業銀行
開發國際投資 東鼎液化瓦斯興業
開發國際投資 展望亞洲科技
開發國際投資 復盛
開發國際投資 統一國際開發
開發國際投資 中盈投資開發
開發國際投資 生華創業投資
綠舞觀光飯店 四維航業
上安科技 臺灣華懋投資
全球投資 松彰食品
全球投資 松柏飲料
全球投資 松泰飲料
全球投資 松城食品
全球投資 松投食品
全球投資 松揚飲料
全球投資 松盈飲料
全球投資 松深食品
全球投資 客集
全球投資 黑松
全球投資 客錸食品
全球投資 松佳飲料
鴻乙精密 正淩精密工業
泓瀚科技 岩玉投資
泓瀚科技 漢驊創業投資
順昶塑膠 台灣聚合化學品
順昶塑膠 順昶先進能源
智群國際投資 富臨國際投資
綠寶能源科技 中國石油化學工業開發
台元創業投資 台元紡織
台元創業投資 英雄電影
台元創業投資 永翰投資
台元創業投資 國庭科技
台元創業投資 騏正光電企業
台元創業投資 元翎精密工業
台元創業投資 詮興開發科技
台元創業投資 中華汽車工業
台元創業投資 群傳媒
台元創業投資 力大投資
台元創業投資 裕隆汽車製造
勤實佳企管顧問有限公司 清科隆企管科技有限公司
勤實佳企管顧問有限公司 勤實房屋仲介
勤實佳企管顧問有限公司 勤實佳稅務顧問有限公司
中國信託綜合證券 中國信託金融控股
京績國際投資 優鑫室內裝修
京績國際投資 威菱生物科技
京績國際投資 前展科技
京績國際投資 領盈生物科技
京績國際投資 優盛興業
冠寶科技 仁寶電腦工業
冠寶科技 威倫電子
冠寶科技 金寶電子工業
展佑開發 蘭博灣發展
展佑開發 展悅投資有限公司
遠登企業 遠雄悅來大飯店
高樂雅國際餐飲 鼎佳投資
高樂雅國際餐飲 尚鼎投資事業
大丹 大華建設
大丹 興農
彰化遊覽車客運有限公司 彰化汽車客運
富翊資訊 騰翔科技
道記投資 台灣優視媒體科技
金元山投資 源山汽車材料
金元山投資 金裕山開發
金元山投資 豊岡企業
金元山投資 金崇實業
金元山投資 金桔投資實業
金元山投資 和泰興業
金元山投資 金鋒山
金元山投資 和泰汽車
普杭實業 普騰電子工業
勝茂合投資 博輝生物科技
勝茂合投資 精茂半導體
芳慶實業 榮浩投資
芳慶實業 元禎企業
宏佳投資 富泰建設
宏佳投資 宏泰建設
宏佳投資 群益金鼎證券
吸引力建設開發 吸引力綜合百貨
達欣整合科技 達欣工程
台灣得立鼎 台灣豐田通商
智富網科技 奇唯科技
優升 虹優科技
中健投資 鑽石生技投資
敦鑫投資 敦南科技
大成不銹鋼工業 立基工業
大成不銹鋼工業 大成國際鋼鐵
紅騎科技 安葳科技
皇普建設 學詠有限公司
皇普建設 千磐投資
皇普建設 佳蒔企管顧問
德泰科技 佳格食品
新永和 台灣東陶
新永和 鴻達投資開發
金泰國際實業 永美汽車
金泰國際實業 台灣愛克思資訊科技
金泰國際實業 勝昌
金泰國際實業 萬泰租賃
金泰國際實業 榮太管理顧問
金泰國際實業 炬達汽車
金泰國際實業 榮吉投資
榮工工程 榮民工程
榮工工程 王景投資有限公司
榮工工程 亞翔工程
健見成工程 太頂商業開發
健見成工程 新興電通
健見成工程 興龍投資
美福企業 毅翔投資
美福企業 日海投資
美福企業 台灣羽毛
美福企業 李永祥開發
美福企業 良福事業
美福企業 昱信投資
美福企業 景德榮
美福企業 榮圖投資
美福企業 道勤投資
統一欣業汽車精品 南聯國際貿易
黑劍電視節目製作 中天電視
上銀資產管理 上海商業儲蓄銀行
友禾投資 源景創業投資
友禾投資 禾伸堂生技
友禾投資 禾瑞亞科技
友禾投資 禾伸堂企業
友禾投資 愛禾發精密科技
友禾投資 源榮創業投資
友禾投資 義傳科技
泰銘實業 茂陞投資
泰銘實業 豐禾生技
泰銘實業 金俊投資
泰銘實業 泰霖投資
泰銘實業 泰詠投資
泰銘實業 泰維企業
泰銘實業 光頡科技
鉅普科技 寰群科技
鉅普科技 義隆電子
東森汽車有限公司 朝欽實業
坤寧投資 敬華飯店
中華票券金融 明山投資
中華票券金融 臺灣工業銀行
天遠力科 大庫辦
天遠力科 漢鼎運動服務
通友汽車材料 通太資產管理
高都小客車租賃 高都汽車
震華開發 帝國建設
天可汗投資有限公司 和全國際
顯隆開發建設 聯驊
德理企管顧問 金鑛連鎖企業
慶齡研發中心 裕景實業
漫遊者文化事業 誠品
漫遊者文化事業 大雁文化事業
納智捷汽車 台元紡織
納智捷汽車 高智捷汽車
納智捷汽車 中智捷汽車
納智捷汽車 南智捷汽車
納智捷汽車 北智捷汽車
納智捷汽車 桃智捷汽車
納智捷汽車 裕隆汽車製造
計然投資顧問 嵩隆電子
計然投資顧問 宇誠科技
計然投資顧問 尚鏵
唐盛國際企管顧問 越冠國際開發
唐盛國際企管顧問 中華資產鑑定中心
唐盛國際企管顧問 耐斯企業
唐盛國際企管顧問 七陽實業
唐盛國際企管顧問 和田國際開發有限公司
唐盛國際企管顧問 唐麗文化媒體
唐盛國際企管顧問 唐潤國際開發
訊連科技 景宜投資
訊連科技 訊連投資
訊連科技 程傑國際投資
卓揚投資有限公司 冠北辰開發工程有限公司
萬菱藥品科技 歐帕生技醫藥
山隆通運 山隆投資
山隆通運 仁云
山隆通運 科隆工業
山隆通運 正太科技
山隆通運 山發營造
山隆通運 山隆船務報關
山隆通運 正隆
山隆通運 山隆生物科技
山隆通運 山富紙業
誠友財務顧問 力智投資
凱鈺科技 鈺創科技
立凱投資 文光科技
立凱投資 東南水泥
立凱投資 台灣混凝土工業
立凱投資 正泰水泥廠
安心巧廚 大成長城企業
華悅有限公司 露特娜
華悅有限公司 美吾華
台東興業 聚慶投資
台東興業 珍綠品
台東興業 天廚國際
台東興業 駿瀚生化
台東興業 孟裕實業
台東興業 優味企業
台東興業 義裕企業
台東興業 優仕咖啡
台東興業 糖鳳國際
台東興業 台灣咖哩好侍餐廳
知慧科技 金昇化學科技
來來超商 便利達康
來來超商 來來物流
來來超商 豐群投資控股
來來超商 來來百貨
奕成投資 關友
世中開發 新實運輸
世中開發 勇誼
世中開發 勇春
世中開發 新安運輸
勝友投資 湛天創新科技
宏宗投資開發 宏總建設
環球水泥 宇聲投資有限公司
環球水泥 華東水泥
環球水泥 萬通票券金融
環球水泥 環泥投資
環球水泥 諾貝爾國際貿易
環球水泥 環泥建設開發
環球水泥 雅寶興投資
環球水泥 高雄碼頭通運
環球水泥 台南混凝土工業
環球水泥 利永環球科技
環球水泥 環球混凝土工業
環球水泥 六和機械
環球水泥 環中國際
環球水泥 喬宏投資
環球水泥 中聯資源
環球水泥 嘉義混凝土工業
環球水泥 升元投資
誠禧投資 瑞孚開發事業
誠禧投資 元晶太陽能科技
誠禧投資 厚和建設
春木投資 員林汽車客運
國傳開發 幸福水泥
國傳開發 福東汽車貨運
國傳開發 永盛開發實業
國傳開發 昌潤水資源生技
統一午茶風光 統一超商
領航建設 台灣領航資產投資
領航建設 領航投資開發
領航建設 家德開發實業
海樺廣告 鼎悅投資
海樺廣告 相信投資
海樺廣告 聖倫投資
海樺廣告 瀚寶投資
頂晶科技 鼎元光電科技
頂晶科技 崇智國際投資
頂晶科技 長奕投資
順霖投資 士林開發
鑫和衛星電視 鑫傳視訊廣告
凱基保險經紀人 凱基證券
善圓投資 柏德開發
善圓投資 馥霖
福瑞投資 費泰投資
寶典投資 寶裕投資
寶典投資 寶裕第一投資
山水國際娛樂 億銆投資
宇極科技 鵬寶科技
宇極科技 美吾華
晶華公寓大廈管理維護 晶華國際酒店
元豐國際投資 元閣投資有限公司
元豐國際投資 家美建設事業
遠銀財產保險代理人 遠東國際商業銀行
吉宣投資 帆宣系統科技
豐麒投資 樂訊科技
豐麒投資 鑫佑光電科技
台灣高技 建南和
台灣高技 華興投資
台灣高技 誠信開發
力強實業 巨山林資訊科技
力強實業 巨綱企業
力強實業 力麗酒店
力強實業 力穩企業
力強實業 科技島管理顧問
力強實業 力慈事業
力強實業 木生雲朵設計
禾鈶 旭揚管理顧問
台灣白鴿家化 耐斯企業
富邦行銷 富昇人身保險代理人
富邦行銷 富昇財產保險代理人
富邦行銷 富邦金融控股
一福開發 宏國開發
